index,korName,engName,korTooltip,engTooltip,,
0,null,null,null,null,,
306,평범한 리볼버,Common Revolver,평범하고 흔한 리볼버,"An ordinary, common revolver",,
307,튼튼한 리볼버,Solid Revolver,신뢰할 수 있는 튼튼한 리볼버,"A reliable, sturdy revolver",,
308,콜트 리볼버,Colt Revolver,탁월한 정확성을 가진 리볼버,Revolver with exceptional accuracy,,
601,날고기,Raw Meat,체력 <itemEffectAmount> 회복,Restore hp by <itemEffectAmount>,맛있는 사과,A delicious apple
701,주사위,Dice,적에게 던져 <itemEffectAmount> 피해를 입힘,Throw it at the enemy and deal <itemEffectAmount> damage,그저 발에 채는 돌멩이,A common stone
801,부목,Splint,<keyword:16> 스택 <itemEffectAmount> 감소,Reduce <keyword:16> stack by <itemEffectAmount>,단단한 나무 조각,A hard piece of wood
901,담배,Cigar,<itemEffectDuration>턴 동안 집중력 <itemEffectAmount> 상승,Increase concentration by <itemEffectAmount> for <itemEffectDuration> turn(s),잠시 기분이 좋아진다,Can feel good for a while
1001,성냥갑,Matchbox,적에게 던져 <keyword:10> <itemEffectAmount>스택 부여,Throw it at the enemy and give <keyword:10> <itemEffectAmount> stack(s),급조한 폭발물,An improvised explosive device
101,카우보이 모자,Cowboy Hat,누군가가 선물해 준 모자,A hat someone gave me as a gift,누군가가 선물해 준 모자,A hat someone gave me as a gift
301,패터슨 리볼버,Paterson Revolver,회전 실린더를 처음으로 사용한 리볼버,Revolver with rotating cylinder for the first time,,
302,드래군 리볼버,Dragoon Revolver,기병들을 위해 개발된 리볼버,Revolver developed for dragoon,,
303,더블액션 리볼버,Double Action Revolver,더블액션 방식을 사용하여 연사가 가능한 리볼버,Revolver capable of firing continuously using the double action method.,,
304,스코필드 리볼버,Schofield Revolver,총열을 밑으로 내려서 빠르게 재장전 할 수 있는 리볼버,Revolver that can be reloaded quickly with a top break.,,
305,피스메이커,Peacemaker,견고하고 신뢰성이 좋은 리볼버,Sturdy and reliable revolver,,
401,헨리 소총,Henry Rifle,실용적인 레버액션 소총,Practical lever action rifle,,
402,스펜서 소총,Spencer Rifle,기병대를 위해 설계된 레버액션 소총,Lever action rifle designed for cavalry,,
403,옐로우 보이,Yellow Boy,헨리 소총을 개량한 레버액션 소총,"Lever action rifle, an improved version of the Henry rifle",,
404,스프링필드,Springfield,군용으로 만들어진 강력한 트랩도어 소총,A powerful trapdoor rifle made for military use.,,
405,볼트액션 소총,Bolt Action Rifle,군용으로 만들어진 강력한 볼트액션 소총,A powerful bolt action rifle made for military use.,,
501,더블배럴 산탄총,Double Barrel Shotgun,강력한 더블배럴 산탄총,A powerful double barrel shotgun,,
502,,,,,,
503,,,,,,
602,수통,Canteen,체력 <itemEffectAmount> 회복,Restore hp by <itemEffectAmount>,,
603,커피,Coffee,체력 <itemEffectAmount> 회복,Restore hp by <itemEffectAmount>,,
604,육포,Jerky,체력 <itemEffectAmount> 회복,Restore hp by <itemEffectAmount>,,
605,콩 통조림,Canned Beans,체력 <itemEffectAmount> 회복,Restore hp by <itemEffectAmount>,,
702,못,Spike,적에게 던져 <itemEffectAmount> 피해를 입힘,Throw it at the enemy and deal <itemEffectAmount> damage,,
703,곡괭이,Pickaxe,적에게 던져 <itemEffectAmount> 피해를 입힘,Throw it at the enemy and deal <itemEffectAmount> damage,,
704,단검,Knife,적에게 던져 <itemEffectAmount> 피해를 입힘,Throw it at the enemy and deal <itemEffectAmount> damage,,
705,다이너마이트,Dynamite,적에게 던져 <itemEffectAmount> 피해를 입힘,Throw it at the enemy and deal <itemEffectAmount> damage,,
802,모래주머니,Sandbag,<keyword:10> 스택 <itemEffectAmount> 감소,Reduce <keyword:10> stack by <itemEffectAmount>,,
803,위스키,Whisky,<keyword:15> 스택 <itemEffectAmount> 감소,Reduce <keyword:15> stack by <itemEffectAmount>,,
902,가죽 부츠,Leather Boots,<itemEffectDuration>턴 동안 속도 <itemEffectAmount> 상승,Increase speed by <itemEffectAmount> for <itemEffectDuration> turn(s),,
903,조준경,Scope,<itemEffectDuration>턴 동안 시야 거리 <itemEffectAmount> 증가,Increase sight range by <itemEffectAmount> for <itemEffectDuration> turn(s),,
1002,족쇄,Ball and Chain,적에게 채워 <keyword:13> <itemEffectAmount>스택 부여,Sprinkle salt on the enemy and give <keyword:13> <itemEffectAmount> stack(s),,
1003,현상수배지,Wanted Poster,적을 향해 휘둘러 <keyword:14> <itemEffectAmount>스택 부여,Swing at the enemy and give <keyword:14> <itemEffectAmount> stack(s),,
